code,銘柄名,業種,起点日,5倍到達日,かかった日数,起点株価,到達株価,倍率
92110,エフ・コード,サービス業,2023-10-23,2024-03-06,89,520.5,2635.0,5.06
59850,サンコール,金属製品,2025-08-07,2026-03-10,141,389.0,1969.0,5.06
62540,野村マイクロ・サイエンス,機械,2023-05-02,2024-03-04,204,1062.5,5372.5,5.06
67870,メイコー,電気機器,2025-08-18,2026-05-18,179,7870.0,39800.0,5.06
95600,プログリット,サービス業,2023-01-04,2023-05-22,92,236.0,1195.0,5.06
64330,ヒーハイスト,機械,2025-12-02,2026-02-06,44,430.0,2175.0,5.06
67770,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,電気機器,2025-08-01,2026-04-21,174,5900.0,29770.0,5.05
20330,ノムラ・ヨーロッパ・ファイナンス・エヌ・ブイ　ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ダブル・ブル　ＥＴＮ,その他,2025-12-30,2026-06-03,100,32280.0,162950.0,5.05
58920,ｙｕｔｏｒｉ,小売業,2024-08-05,2025-08-14,250,1159.0,5850.0,5.05
69810,村田製作所,電気機器,2025-09-03,2026-06-22,192,2424.0,12250.0,5.05
276A0,ククレブ・アドバイザーズ,不動産業,2025-01-14,2025-06-19,106,1272.0,6420.0,5.05
68400,ＡＫＩＢＡホールディングス,電気機器,2025-07-22,2026-05-25,202,279.0,1405.0,5.04
77710,日本精密,精密機器,2026-01-09,2026-02-09,20,134.0,675.0,5.04
23340,イオレ,サービス業,2025-07-03,2025-08-25,35,192.0,968.0,5.04
62690,三井海洋開発,機械,2025-04-07,2025-11-25,156,3155.0,15900.0,5.04
155A0,情報戦略テクノロジー,情報･通信業,2025-04-09,2025-11-26,155,335.0,1687.0,5.04
19480,弘電社,建設業,2025-07-31,2026-05-28,198,2275.0,11470.0,5.04
34490,テクノフレックス,金属製品,2026-02-03,2026-06-22,92,2090.0,10540.0,5.04
34360,ＳＵＭＣＯ,金属製品,2025-06-23,2026-07-06,252,1028.0,5171.0,5.03
92520,ラストワンマイル,サービス業,2023-01-18,2023-06-07,94,895.2,4500.0,5.03
39020,,,2025-04-07,2025-12-18,173,335.0,1686.0,5.03
66480,かわでん,電気機器,2025-02-07,2026-01-05,220,533.2,2680.0,5.03
65900,芝浦メカトロニクス,電気機器,2025-04-09,2026-01-22,192,1100.0,5532.0,5.03
72730,イクヨ,輸送用機器,2024-12-20,2025-09-01,168,253.0,1272.0,5.03
68620,ミナトホールディングス,電気機器,2025-07-24,2026-05-08,189,772.0,3885.0,5.03
67790,日本電波工業,電気機器,2025-12-17,2026-06-05,111,927.0,4660.0,5.03
68710,日本マイクロニクス,電気機器,2023-05-24,2024-03-01,190,1578.0,7930.0,5.03
45920,サンバイオ,医薬品,2025-01-21,2025-05-20,79,691.0,3475.0,5.03
62780,ユニオンツール,機械,2025-04-09,2026-02-25,214,3180.0,15980.0,5.03
40620,イビデン,電気機器,2025-10-02,2026-05-29,157,4577.0,23000.0,5.03
44610,第一工業製薬,化学,2025-04-07,2026-02-03,202,2169.0,10900.0,5.03
38910,ニッポン高度紙工業,パルプ・紙,2025-09-17,2026-06-18,181,2119.0,10640.0,5.02
44460,Ｌｉｎｋ−Ｕグループ,情報･通信業,2025-04-09,2025-10-15,127,318.0,1595.0,5.02
60160,ジャパンエンジンコーポレーション,輸送用機器,2025-04-07,2025-10-23,135,2416.0,12140.0,5.02
63270,北川精機,機械,2026-04-07,2026-07-01,57,1651.0,8290.0,5.02
63560,日本ギア工業,機械,2025-04-22,2026-03-09,213,438.0,2200.0,5.02
29620,テクニスコ,金属製品,2025-09-12,2026-02-26,108,263.0,1317.0,5.01
37780,さくらインターネット,情報･通信業,2023-12-27,2024-03-07,45,2049.0,10270.0,5.01
27370,トーメンデバイス,卸売業,2025-10-01,2026-08-05,205,6670.0,33400.0,5.01
44920,ゼネテック,情報･通信業,2023-05-12,2024-03-19,210,208.3,1044.0,5.01
48330,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,サービス業,2025-04-24,2025-09-02,88,77.0,386.0,5.01
60260,,,2023-07-31,2024-06-20,218,2890.0,14490.0,5.01
60850,アーキテクツ・スタジオ・ジャパン,サービス業,2026-02-05,2026-03-03,16,57.7,289.1,5.01
90990,,,2023-06-13,2024-06-05,240,1198.0,6000.0,5.01
41070,伊勢化学工業,化学,2023-12-22,2024-06-14,115,789.0,3950.0,5.01
50160,ＪＸ金属,非鉄金属,2025-08-04,2026-03-02,138,869.6,4356.0,5.01
44220,ＶＡＬＵＥＮＥＸ,情報･通信業,2026-01-06,2026-04-08,62,178.0,891.0,5.01
39970,トレードワークス,情報･通信業,2025-04-09,2026-02-16,207,114.2,571.0,5.0
34980,霞ヶ関キャピタル,不動産業,2023-05-19,2024-03-29,212,1830.0,9150.0,5.0
31890,ＡＮＡＰホールディングス,小売業,2024-12-26,2025-06-17,112,334.0,1671.0,5.0
33990,丸千代山岡家,小売業,2023-04-19,2024-03-22,226,390.6,1955.0,5.0
18440,大盛工業,建設業,2025-05-16,2025-09-04,77,276.0,1380.0,5.0
45880,オンコリスバイオファーマ,医薬品,2025-09-30,2026-03-06,104,630.0,3150.0,5.0
63300,東洋エンジニアリング,建設業,2025-10-03,2026-01-15,67,1473.0,7370.0,5.0
74090,ＡｅｒｏＥｄｇｅ,輸送用機器,2025-08-12,2026-02-25,130,555.8,2780.0,5.0
