code,name,sector33,close,pct_from_high,ret_1m,turnover_value,脱落条件
16990,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信,その他,566.0,-0.187015225509911,0.03625045770779933,142306842.0,押し目ゾーン(-15〜-5%)
175A0,Ｗｉｌｌ　Ｓｍａｒｔ,情報･通信業,592.0,-0.6255534471853257,-0.014975041597337757,712100.0,押し目ゾーン(-15〜-5%)
17640,工藤建設,建設業,2675.0,-0.21554252199413493,0.009815024537561445,1071700.0,押し目ゾーン(-15〜-5%)
17730,ワイ・ティー・エル・コーポレーション・バーハッド,建設業,77.0,-0.20618556701030932,0.026666666666666616,304000.0,押し目ゾーン(-15〜-5%)
17880,三東工業社,建設業,4330.0,-0.2783333333333333,-0.012542759407069504,3499000.0,押し目ゾーン(-15〜-5%)
18020,大林組,建設業,3140.0,-0.28894927536231885,-0.0679726921935292,8264472200.0,押し目ゾーン(-15〜-5%)
18080,長谷工コーポレーション,建設業,2659.5,-0.23949099227909632,-0.07286037998954153,2081025700.0,押し目ゾーン(-15〜-5%)
18200,西松建設,建設業,5242.0,-0.23708339397467615,-0.037281910009182684,459056400.0,押し目ゾーン(-15〜-5%)
18350,東鉄工業,建設業,4175.0,-0.28264604810996563,-0.02453271028037385,215256000.0,押し目ゾーン(-15〜-5%)
18440,大盛工業,建設業,462.0,-0.6652173913043478,-0.09233791748526521,49213300.0,押し目ゾーン(-15〜-5%)
18870,日本国土開発,建設業,520.0,-0.2676056338028169,-0.02985074626865669,191025400.0,押し目ゾーン(-15〜-5%)
192A0,インテグループ,サービス業,1208.0,-0.46854377474703035,-0.011456628477905073,2538900.0,押し目ゾーン(-15〜-5%)
19380,日本リーテック,建設業,2504.0,-0.2211508553654743,-0.06427503736920781,301687400.0,押し目ゾーン(-15〜-5%)
19420,関電工,建設業,5684.0,-0.2262455758235774,-0.1650998824911868,7448761500.0,押し目ゾーン(-15〜-5%)
19450,東京エネシス,建設業,2098.0,-0.20620506999621646,-0.035402298850574665,411084600.0,押し目ゾーン(-15〜-5%)
19500,日本電設工業,建設業,3995.0,-0.25046904315196994,-0.08371559633027525,425716000.0,押し目ゾーン(-15〜-5%)
19590,クラフティア,建設業,8272.0,-0.2170373876005679,-0.11510483525887893,1608881900.0,押し目ゾーン(-15〜-5%)
19630,日揮ホールディングス,建設業,2327.0,-0.18721620677610895,-0.05941794664510913,3059888550.0,押し目ゾーン(-15〜-5%)
19670,ヤマト,建設業,2017.0,-0.20055489496630996,0.01001502253380071,89191200.0,押し目ゾーン(-15〜-5%)
19680,太平電業,建設業,2478.0,-0.6413892908827785,-0.03916246607212093,387553700.0,押し目ゾーン(-15〜-5%)
19940,高橋カーテンウォール工業,建設業,565.0,-0.15037593984962405,0.0017730496453900457,9438500.0,押し目ゾーン(-15〜-5%)
20030,日東富士製粉,食料品,1690.0,-0.7749667110519307,-0.04249291784702547,80123400.0,押し目ゾーン(-15〜-5%)
202A0,,,3540.0,-0.19545454545454544,0.0,146050500.0,押し目ゾーン(-15〜-5%)
20920,農林中金全共連アセットマネジメント株式会社　ＮＺＡＭ　上場投信　フランス国債７−１０年（為替ヘッジあり）,その他,4617.0,-0.15993449781659386,-0.007736943907156624,9234.0,押し目ゾーン(-15〜-5%)
211A0,カドス・コーポレーション,建設業,3335.0,-0.3635496183206107,-0.10828877005347592,82954000.0,押し目ゾーン(-15〜-5%)
21270,日本Ｍ＆Ａセンターホールディングス,サービス業,635.5,-0.21134276495408288,-0.07885200753732424,1306457810.0,押し目ゾーン(-15〜-5%)
21300,メンバーズ,サービス業,894.0,-0.3918367346938776,-0.165266106442577,121501500.0,押し目ゾーン(-15〜-5%)
21730,博展,サービス業,710.0,-0.3339587242026266,0.009957325746799528,2418800.0,押し目ゾーン(-15〜-5%)
21830,リニカル,サービス業,207.0,-0.42339832869080785,-0.050458715596330306,6575600.0,押し目ゾーン(-15〜-5%)
22160,カンロ,食料品,1064.0,-0.5630390143737166,-0.06420404573438876,123034100.0,押し目ゾーン(-15〜-5%)
22540,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社　グローバルＸ　チャイナＥＶ＆バッテリー　ＥＴＦ,その他,1117.0,-0.1946647440519106,-0.04611443210930832,74709989.0,押し目ゾーン(-15〜-5%)
22810,プリマハム,食料品,2310.0,-0.2075471698113207,-0.052502050861361726,911878900.0,押し目ゾーン(-15〜-5%)
22820,日本ハム,食料品,5860.0,-0.20928349750371067,-0.07278481012658233,5675677900.0,押し目ゾーン(-15〜-5%)
22920,Ｓ　Ｆｏｏｄｓ,食料品,2651.0,-0.18430769230769228,-0.022492625368731534,664663100.0,押し目ゾーン(-15〜-5%)
23250,ＮＪＳ,サービス業,4430.0,-0.3368263473053892,0.001129943502824915,64939000.0,押し目ゾーン(-15〜-5%)
23290,東北新社,情報･通信業,500.0,-0.30458970792767737,-0.038461538461538436,12046900.0,押し目ゾーン(-15〜-5%)
23320,クエスト,情報･通信業,1711.0,-0.16455078125,-0.007540603248259892,36281700.0,押し目ゾーン(-15〜-5%)
23370,いちご,不動産業,395.0,-0.24618320610687028,-0.1183035714285714,389119600.0,押し目ゾーン(-15〜-5%)
23420,トランスジェニックグループ,サービス業,214.0,-0.5605749486652978,-0.0092592592592593,5345800.0,押し目ゾーン(-15〜-5%)
237A0,ブラックロック・ジャパン株式会社　ｉシェアーズ　米国債２５年超　ロングデュレーション　ＥＴＦ,その他,148.0,-0.16147308781869685,-0.0864197530864198,173460788.0,押し目ゾーン(-15〜-5%)
23840,ＳＢＳホールディングス,陸運業,4235.0,-0.15637450199203184,0.007134363852556502,256334000.0,押し目ゾーン(-15〜-5%)
23850,総医研ホールディングス,サービス業,213.0,-0.3173076923076923,0.014285714285714235,13664800.0,押し目ゾーン(-15〜-5%)
238A0,ブラックロック・ジャパン株式会社　ｉシェアーズ　米国債２５年超　ロングデュレーション　ＥＴＦ（為替ヘッジあり）,その他,122.8,-0.20978120978120984,-0.06899166034874915,106558376.0,押し目ゾーン(-15〜-5%)
24400,ぐるなび,サービス業,118.0,-0.5547169811320755,-0.05600000000000005,21750100.0,押し目ゾーン(-15〜-5%)
24690,ヒビノ,サービス業,2727.0,-0.36433566433566433,-0.023630504833512367,27897200.0,押し目ゾーン(-15〜-5%)
248A0,キッズスター,情報･通信業,830.0,-0.6291331546023236,-0.02352941176470591,2000400.0,押し目ゾーン(-15〜-5%)
24910,バリューコマース,サービス業,449.0,-0.46356033452807643,-0.0022222222222222365,73103900.0,押し目ゾーン(-15〜-5%)
261A0,日水コン,サービス業,2018.0,-0.41676300578034686,0.004980079681274896,19026200.0,押し目ゾーン(-15〜-5%)
26280,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　中国科創板５０（ＳＴＡＲ５０）,その他,3935.0,-0.22233201581027673,-0.13800657174151154,26747685.0,押し目ゾーン(-15〜-5%)
27220,ＩＫホールディングス,小売業,357.0,-0.3602150537634409,0.011331444759206777,1786500.0,押し目ゾーン(-15〜-5%)
27420,ハローズ,小売業,3670.0,-0.30492424242424243,-0.0430247718383312,153243000.0,押し目ゾーン(-15〜-5%)
27760,新都ホールディングス,卸売業,93.0,-0.4624277456647399,-0.021052631578947323,5016700.0,押し目ゾーン(-15〜-5%)
27780,パレモ・ホールディングス,小売業,110.0,-0.31677018633540377,-0.017857142857142905,2481100.0,押し目ゾーン(-15〜-5%)
27840,アルフレッサ　ホールディングス,卸売業,2140.5,-0.20100783874580064,-0.03144796380090498,3347911050.0,押し目ゾーン(-15〜-5%)
