buy_date,code,sector,buy_price,shares,buy_amount,buy_fee,sell_date,reason,sell_price,sell_amount,sell_fee,net_pnl
2025-02-10,53800,ガラス･土石製品,2087.0,2300,4800100.0,1018,2025-02-12,TP(+10%),2295.7,5280110.0,1430,477562.0
2025-02-12,23880,その他金融業,70.0,73700,5159000.0,1430,2025-02-14,SL(-5%),66.5,4901050.0,1018,-260398.0
2025-02-13,31370,小売業,222.0,22600,5017200.0,1430,2025-02-14,TP(+10%),244.2,5518920.0,1430,498860.0
2025-02-14,93440,サービス業,845.0,6200,5239000.0,1430,2025-02-20,SL(-5%),802.8,4977360.0,1018,-264088.0
2025-02-14,66480,電気機器,769.0,300,230700.0,220,2025-02-20,TP(+10%),845.9,253770.0,220,22630.0
2025-02-17,50330,情報･通信業,1020.0,5000,5100000.0,1430,2025-02-20,SL(-5%),969.0,4845000.0,1018,-257448.0
2025-02-18,91620,サービス業,351.0,14300,5019300.0,1430,2025-02-19,TP(+10%),386.1,5521230.0,1430,499070.0
2025-02-19,47070,サービス業,367.0,700,256900.0,220,2025-03-05,SL(-5%),348.6,244020.00000000003,220,-13319.99999999997
2025-01-24,92560,サービス業,808.0,5400,4363200.0,1018,2025-04-11,SL(-5%),767.6,4145040.0,1018,-220196.0
2025-02-10,70350,サービス業,214.0,3100,663400.0,330,2025-04-11,SL(-5%),203.3,630230.0,330,-33830.0
2025-04-11,31370,小売業,200.5,25100,5032550.0,1430,2025-04-14,TP(+10%),220.6,5537060.0,1430,501650.0
2025-02-19,70910,サービス業,990.0,5300,5247000.0,1430,2025-04-21,TP(+10%),1089.0,5771700.0,1430,521840.0
2025-04-14,38030,情報･通信業,477.0,11300,5390100.0,1430,2025-04-15,TP(+10%),524.7,5929110.000000001,1430,536150.0000000009
2025-04-15,61470,機械,301.0,19600,5899600.0,1430,2025-04-16,TP(+10%),331.1,6489560.0,1430,587100.0
2025-04-15,30770,小売業,309.0,19100,5901900.0,1430,2025-04-18,TP(+10%),339.9,6492090.0,1430,587330.0
2025-04-16,68400,電気機器,235.0,27700,6509500.0,1430,2025-04-17,SL(-5%),223.2,6182640.0,1430,-329720.0
2025-04-16,60850,サービス業,16.1,404600,6514060.000000001,1430,2025-04-17,SL(-5%),15.3,6190380.0,1430,-326540.00000000093
2025-04-17,92410,サービス業,1202.0,5100,6130200.0,1430,2025-04-23,TP(+10%),1322.2,6743220.0,1430,610160.0
2025-04-17,92400,サービス業,345.0,17900,6175500.0,1430,2025-04-21,SL(-5%),327.8,5867620.0,1430,-310740.0
2025-04-18,30770,小売業,308.0,20500,6314000.0,1430,2025-05-13,TP(+10%),338.8,6945400.0,1430,628540.0
2025-05-07,38400,情報･通信業,99.0,3300,326700.0,220,2025-05-26,SL(-5%),94.0,310200.0,220,-16940.0
2025-04-18,47350,サービス業,342.0,18500,6327000.0,1430,2025-05-29,TP(+10%),376.2,6959700.0,1430,629840.0
2025-05-23,78650,その他製品,628.0,11000,6908000.0,1430,2025-05-30,SL(-5%),596.6,6562600.0,1430,-348260.0
2025-05-26,92400,サービス業,383.0,17100,6549300.0,1430,2025-05-27,TP(+10%),421.3,7204230.0,1430,652070.0
2025-05-07,75780,小売業,128.0,51900,6643200.0,1430,2025-06-06,SL(-5%),121.6,6311040.0,1430,-335020.0
2025-05-23,130A0,医薬品,670.0,500,335000.0,220,2025-06-09,SL(-5%),636.5,318250.0,220,-17190.0
2025-05-27,74620,小売業,176.0,40300,7092800.0,1430,2025-06-09,TP(+10%),193.6,7802080.0,1430,706420.0
2025-06-02,70780,サービス業,539.0,11900,6414100.0,1430,2025-06-03,SL(-5%),512.0,6092800.0,1430,-324160.0
2025-06-03,60540,サービス業,158.0,45000,7110000.0,1430,2025-06-10,SL(-5%),150.1,6754500.0,1430,-358360.0
2025-06-04,39860,情報･通信業,497.66666666666663,13600,6768266.666666666,1430,2025-06-13,SL(-5%),472.8,6430080.0,1430,-341046.66666666605
2025-06-05,36340,情報･通信業,639.0,10000,6390000.0,1430,2025-06-06,SL(-5%),607.0,6070000.0,1430,-322860.0
