code,銘柄名,業種,高値からの下落%,次決算まで営業日,終値,売買代金(3日平均)億,信用買い残,信用売り残,信用倍率,業種空売り比率,過去該当n,平均_損切なし%,平均_損切5%,勝率_損切なし%,2週で+10%到達%,2週で-5%到達%,過去最小%,過去最大%
87660,東京海上ホールディングス,保険業,-12.2,60,7371.0,374.6,1978800,176800,11.19,,54,-0.09,0.53,42.6,14.8,33.3,-31.12,32.18
86300,ＳＯＭＰＯホールディングス,保険業,-8.4,61,6740.0,210.7,310300,68300,4.54,,50,1.96,2.31,70.0,14.0,10.0,-15.17,15.85
87500,第一ライフグループ,保険業,-6.0,56,1841.5,151.9,2200600,592100,3.72,,52,0.19,0.68,59.6,13.5,26.9,-25.85,11.27
86010,大和証券グループ本社,証券･商品先物取引業,-5.7,55,1771.0,66.0,2417400,273000,8.85,,29,1.06,1.57,75.9,13.8,20.7,-21.89,12.68
