as_of,code,company_name,sector33,market,market_cap_oku,turnover_oku,turnover_spike,op_yoy,sales_yoy,pct_from_high,price,max_return,final_return,is_winner
2025-06-26,13580,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド日経レバレッジ指数,その他,その他,,9.4032662,2.30698684516451,,,-0.17727639000805806,51050.0,0.31322233104799224,0.31322233104799224,False
2025-06-26,135A0,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,情報･通信業,グロース,,2.104077,0.461494502050247,,,-0.3118012422360248,2770.0,0.061732851985559556,-0.012274368231046884,False
2025-06-26,13600,シンプレクス・アセット・マネジメント株式会社　日経平均ベア２倍上場投信,その他,その他,,161.93624313,1.5618143963857878,,,-0.47830578512396693,252.5,0.001980198019801982,-0.26732673267326734,False
2025-06-26,13640,ブラックロック・ジャパン株式会社　ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,その他,その他,,0.2505026,3.0890564307472705,,,-0.905473532589125,2625.0,0.11009523809523802,0.10857142857142854,False
2025-06-26,13650,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,その他,その他,,22.476959,1.3051187732206755,,,-0.19436345966958213,41450.0,0.3213510253317249,0.3213510253317249,False
2025-06-26,13660,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,その他,その他,,8.29345228,1.3091303180283735,,,-0.4911591355599214,259.0,0.0038610038610038533,-0.2702702702702703,False
2025-06-26,13670,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,その他,その他,,1.7622639,1.1090349991441508,,,-0.13575081357508134,37180.0,0.27380311995696616,0.27380311995696616,False
2025-06-26,13680,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（−２倍）指数,その他,その他,,0.98706323,2.1236942446077682,,,-0.46291208791208793,391.0,-0.005115089514066473,-0.2301790281329923,False
2025-06-26,13690,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　日経２２５,その他,その他,,1.5701071,0.64963354602595,,,-0.055503070382616926,39990.0,0.1445361340335083,0.1445361340335083,False
2025-06-26,13750,ユキグニファクトリー,水産・農林業,プライム,,0.35399,0.7643621827388972,,,-0.11945117029862795,1091.0,0.05041246562786439,-0.0018331805682859637,False
2025-06-26,13760,カネコ種苗,水産・農林業,スタンダード,,0.104645,1.2949206738116539,,,-0.07859078590785906,1360.0,0.10808823529411771,0.10808823529411771,False
2025-06-26,13770,サカタのタネ,水産・農林業,プライム,,4.9076,1.5120375920471678,,,-0.06793478260869568,3430.0,0.08309037900874627,0.07725947521865884,False
2025-06-26,13790,ホクト,水産・農林業,プライム,,0.790786,1.1375913637045971,,,-0.08102564102564103,1792.0,0.10212053571428581,0.0725446428571428,False
2025-06-26,137A0,Ｃｏｃｏｌｉｖｅ,情報･通信業,グロース,,0.23693,1.5836910502372228,,,-0.1542553191489362,1431.0,0.09433962264150941,0.024458420684835724,False
2025-06-26,13800,秋川牧園,水産・農林業,スタンダード,,0.009826,0.6350437376195232,,,-0.07271010387157695,982.0,0.09164969450101834,0.04989816700611005,False
2025-06-26,13810,アクシーズ,水産・農林業,スタンダード,,0.2695,3.04266218828942,,,-0.03442879499217533,3085.0,0.004862236628849326,0.0,False
2025-06-26,13820,ホーブ,水産・農林業,スタンダード,,0.014281,0.11394095192275855,,,-0.13682864450127874,2025.0,0.5629629629629629,0.308641975308642,False
2025-06-26,13830,ベルグアース,水産・農林業,スタンダード,,0.084099,1.903245626839477,,,-0.16063675832127355,2900.0,0.0431034482758621,0.0431034482758621,False
2025-06-26,13840,ホクリヨウ,水産・農林業,スタンダード,,0.234415,0.8133237780843738,,,-0.09520958083832332,1511.0,0.6326935804103242,0.6326935804103242,False
2025-06-26,138A0,光フードサービス,小売業,グロース,,0.074189,1.889306391870194,,,-0.524373576309795,2088.0,0.17337164750957856,0.15469348659003823,False
2025-06-26,13970,三井住友ＤＳアセットマネジメント株式会社　ＳＭＤＡＭ　日経２２５上場投信,その他,その他,,1.5370825,1.1519363443415627,,,-0.06725829051844934,39940.0,0.1557336004006009,0.1474712068102153,False
2025-06-26,13980,三井住友ＤＳアセットマネジメント株式会社　ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,その他,その他,,0.2038151,0.11968950584858301,,,-0.0024410089503661414,1839.0,0.09026644915715054,0.07205002718868947,False
2025-06-26,13990,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,その他,その他,,0.00064687,0.048252649431265164,,,-0.029565217391304355,2232.0,0.15501792114695334,0.13799283154121866,False
2025-06-26,14010,エムビーエス,建設業,グロース,,0.548952,0.2855634655922507,,,-0.10642857142857143,1251.0,0.2398081534772183,0.19904076738609122,False
2025-06-26,14070,ウエストホールディングス,建設業,スタンダード,,3.098321,1.3467116300624786,,,-0.45887881839543476,1612.0,0.1898263027295286,0.12903225806451624,False
2025-06-26,140A0,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,その他,その他,,9.857e-05,0.0007192974921970597,,,-0.0784218217243059,1892.0,0.05708245243128962,0.03329809725158572,False
2025-06-26,14140,ショーボンドホールディングス,建設業,プライム,,14.986298,1.7707952793516981,,,-0.2014290575025519,4694.0,0.14188325521942913,0.045803152961227056,False
2025-06-26,14170,ミライト・ワン,建設業,プライム,,8.256991,1.2182559879303854,,,-0.022326674500587562,2496.0,0.17708333333333326,0.16586538461538458,False
2025-06-26,14180,インターライフホールディングス,建設業,スタンダード,,0.123654,0.7818403921152066,,,-0.1875,390.0,0.17948717948717952,0.10769230769230775,False
2025-06-26,14190,タマホーム,建設業,プライム,,4.945215,0.6231214241378554,,,-0.2872807017543859,3250.0,0.15538461538461545,0.13384615384615395,False
2025-06-26,141A0,トライアルホールディングス,小売業,グロース,,12.767506,0.7103481926579229,,,-0.38739495798319323,2187.0,0.3100137174211248,0.08139003200731598,False
2025-06-26,14200,サンヨーホームズ,建設業,スタンダード,,0.050504,1.016122882783916,,,-0.05913978494623651,700.0,0.055714285714285605,0.02285714285714291,False
2025-06-26,14290,日本アクア,建設業,プライム,,0.436113,1.2551813180709064,,,-0.15187165775401068,793.0,0.1904161412358134,0.146279949558638,False
2025-06-26,142A0,ジンジブ,サービス業,グロース,,0.090855,1.1392326496014786,,,-0.8449864498644987,572.0,0.7902097902097902,0.5944055944055944,False
2025-06-26,14300,ファーストコーポレーション,建設業,スタンダード,,0.166293,0.40694378592338587,,,-0.17607003891050588,847.0,0.21133412042502941,0.21133412042502941,False
2025-06-26,14310,Ｌｉｂ　Ｗｏｒｋ,建設業,グロース,,0.592964,3.251582775216171,,,-0.05882352941176472,704.0,0.12357954545454541,0.07670454545454541,False
2025-06-26,14330,ベステラ,建設業,プライム,,0.327671,0.18012709511794228,,,-0.06190885640584698,1091.0,0.16223648029330895,-0.019248395967002785,False
2025-06-26,14340,ＪＥＳＣＯホールディングス,建設業,スタンダード,,0.100308,0.35255718009085973,,,-0.12,924.0,0.5119047619047619,0.3874458874458875,False
2025-06-26,14350,ｒｏｂｏｔ　ｈｏｍｅ,不動産業,スタンダード,,0.558487,1.3457696427302048,,,-0.23809523809523814,144.0,0.39583333333333326,0.38888888888888884,False
2025-06-26,14360,グリーンエナジー＆カンパニー,建設業,グロース,,0.070312,0.5128386537037152,,,-0.272446881425634,2123.0,0.1634479510127178,0.09797456429580786,False
2025-06-26,14380,岐阜造園,建設業,スタンダード,,0.007568,0.27292381537973304,,,-0.17423580786026205,1891.0,0.07350608143839232,0.0539397144368059,False
2025-06-26,143A0,イシン,サービス業,グロース,,0.303019,0.054916197519038146,,,-0.31656995486782724,1060.0,0.038679245283018915,-0.037735849056603765,False
2025-06-26,14430,技研ホールディングス,建設業,スタンダード,,0.167098,0.367700259307703,,,-0.19166666666666665,194.0,0.34536082474226815,0.2628865979381443,False
2025-06-26,14440,ニッソウ,建設業,グロース,,0.101273,1.2051252301861421,,,-0.0888519134775374,2738.0,0.03725346968590215,0.00693937180423676,False
2025-06-26,14460,キャンディル,建設業,スタンダード,,0.036584,1.3086629523971347,,,-0.11728395061728392,572.0,0.03321678321678312,-0.04020979020979021,False
2025-06-26,14470,ＳＡＡＦホールディングス,建設業,グロース,,0.26385,1.8766830400771584,,,-0.23184357541899436,275.0,0.047272727272727355,-0.10909090909090913,False
2025-06-26,14500,ＴＡＮＡＫＥＮ,建設業,スタンダード,,0.082672,0.7047812200425143,,,-0.4586872586872587,1402.0,0.08202567760342361,0.007132667617689048,False
2025-06-26,14560,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,その他,その他,,3.35560039,2.737216057436464,,,-0.28148148148148144,2328.0,0.0017182130584192379,-0.14003436426116833,False
2025-06-26,14570,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（−１倍）指数,その他,その他,,0.26298495,2.893182342157324,,,-0.2939666238767651,2750.0,-0.0036363636363636598,-0.12036363636363634,False
2025-06-26,14580,楽天投信投資顧問株式会社　楽天ＥＴＦ‐日経レバレッジ指数連動型,その他,その他,,122.1115042,1.4176618335565985,,,-0.1900532859680284,31920.0,0.32393483709273174,0.32393483709273174,False
2025-06-26,14590,楽天投信投資顧問株式会社　楽天ＥＴＦ‐日経ダブルインバース指数連動型,その他,その他,,50.26161165,1.1148891889213155,,,-0.4602346805736637,414.0,0.0,-0.2681159420289855,False
2025-06-26,145A0,Ｌ　ｉｓ　Ｂ,情報･通信業,グロース,,0.718116,2.123658899066643,,,-0.07164480322906153,920.0,0.6456521739130434,0.34239130434782616,False
2025-06-26,14660,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,その他,その他,,0.00772439,0.5330358769755412,,,-0.4519956850053938,508.0,-0.025590551181102317,-0.2303149606299213,False
2025-06-26,14690,シンプレクス・アセット・マネジメント株式会社　ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,その他,その他,,0.00381464,0.16437517609248334,,,-0.46639667250437833,487.5,-0.017435897435897463,-0.22174358974358976,False
2025-06-26,146A0,コロンビア・ワークス,不動産業,スタンダード,,1.30552,1.1468143667153978,,,0.0,5230.0,0.040152963671128195,-0.2963671128107075,False
2025-06-26,14720,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,その他,その他,,0.01298726,0.9543775581511431,,,-0.5024752475247525,201.0,-0.02985074626865669,-0.22885572139303478,False
2025-06-26,14730,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　トピックス,その他,その他,,0.3528105,1.0804401082220882,,,-0.0340661184762544,2878.0,0.1191799861014593,0.1191799861014593,False
2025-06-26,14740,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,その他,その他,,0.7578732,2.7018512256915033,,,-0.05723224144276773,25615.0,0.12785477259418299,0.12414600819832122,False
2025-06-26,14750,ブラックロック・ジャパン株式会社　ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,その他,その他,,4.46095648,0.32825299734038005,,,-0.9048275862068965,289.8,0.11973775017253274,0.11973775017253274,False
2025-06-26,14760,ブラックロック・ジャパン株式会社　ｉシェアーズ・コア　Ｊリート　ＥＴＦ,その他,その他,,6.07322432,2.2368044697046607,,,0.0,1855.0,0.08894878706199472,0.07601078167115904,False
2025-06-26,14770,ブラックロック・ジャパン株式会社　ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,その他,その他,,0.0120554,0.47780296404379513,,,-0.030717986676535913,2619.0,0.09125620465826656,0.07980145093547164,False
2025-06-26,14780,ブラックロック・ジャパン株式会社　ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,その他,その他,,0.98074652,0.7046314711540352,,,-0.04288251712763258,3772.0,0.12804878048780477,0.11373276776246022,False
2025-06-26,14790,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,その他,その他,,0.0007192,0.043869052829209276,,,-0.06597402597402602,35960.0,0.32146829810901,0.31201334816462745,False
2025-06-26,147A0,ソラコム,情報･通信業,グロース,,0.408417,0.6085020618406942,,,-0.4821656050955414,813.0,0.39606396063960636,0.2410824108241083,False
2025-06-26,14800,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,その他,その他,,0.20560665,13.05465156922186,,,-0.13317460317460317,27305.0,0.4436916315693096,0.20197765976927307,False
2025-06-26,14810,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド日本経済貢献株,その他,その他,,0.00014452,0.43905365890707476,,,-0.12575757575757573,2885.0,0.09358752166377826,0.05580589254766033,False
2025-06-26,14820,ブラックロック・ジャパン株式会社　ｉシェアーズ・コア　米国債７−１０年　ＥＴＦ（為替ヘッジあり）,その他,その他,,4.53580245,2.9334555924460703,,,-0.07541899441340782,1655.0,0.010271903323262777,0.004833836858006091,False
2025-06-26,14830,ブラックロック・ジャパン株式会社　ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,その他,その他,,0.00011437,0.12926786263269255,,,-0.07540453074433662,2857.0,0.09310465523276168,0.07385369268463426,False
2025-06-26,14840,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,その他,その他,,0.00257805,1.09389585702405,,,-0.05054690089492875,2864.5,0.0871007156571828,0.07104206667830337,False
2025-06-26,14850,三菱ＵＦＪアセットマネジメント株式会社　ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,その他,その他,,0.1636487,7.267726242806604,,,-0.23527168732125836,40110.0,0.5454998753428073,0.23934181002243826,False
2025-06-26,14860,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド米国債券（為替ヘッジなし）,その他,その他,,0.0271619,0.2286621173300186,,,-0.09545544750942647,22790.0,0.02435278630978499,0.023255813953488413,False
2025-06-26,14870,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド米国債券（為替ヘッジあり）,その他,その他,,0.10010155,1.2247254037791981,,,-0.06377551020408168,12845.0,0.0035033086804203695,-0.007785130400934204,False
2025-06-26,14880,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,その他,その他,,1.59066391,0.8921207289557282,,,-0.002691065662002168,1853.0,0.09120345385860773,0.07123583378305454,False
2025-06-26,14890,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,その他,その他,,8.05068288,1.0049733032884263,,,-0.10545308740978343,2231.0,0.17660242043926488,0.15732855221873598,False
2025-06-26,148A0,ハッチ・ワーク,情報･通信業,グロース,,0.54457,1.0349379207339455,,,-0.1919406150583245,2286.0,0.27384076990376194,0.27384076990376194,False
2025-06-26,14900,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,その他,その他,,0.0029624,1.5541229453735543,,,-0.0760978043912176,7406.0,0.2692411558196057,0.031731028895490176,False
2025-06-26,14910,中外鉱業,非鉄金属,スタンダード,,1.019579,0.9529937106353896,,,-0.48275862068965514,45.0,0.6000000000000001,0.19999999999999996,False
2025-06-26,14930,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,その他,その他,,0.004468,0.04740011609739716,,,-0.008530343650987038,20340.0,0.06686332350049162,0.06047197640117985,False
2025-06-26,14940,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　高配当日本株,その他,その他,,0.0526184,0.281162376209584,,,-0.013867488443759624,32000.0,0.1434375000000001,0.12812500000000004,False
2025-06-26,14950,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンドアジアリート,その他,その他,,0.0902,2.764773711624263,,,-0.09347442680776019,10280.0,0.09387159533073941,0.08949416342412442,False
2025-06-26,14960,ブラックロック・ジャパン株式会社　ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,その他,その他,,0.01476977,0.15965499197210417,,,-0.07974816369359916,1754.0,0.02109464082098067,0.014823261117445918,False
2025-06-26,14970,ブラックロック・ジャパン株式会社　ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,その他,その他,,0.10037325,0.3041311053562089,,,-0.03725078698845752,1835.0,0.011444141689373355,0.0021798365122616126,False
2025-06-26,14980,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　ＥＳＧ,その他,その他,,0.0082146,0.4686676965686748,,,-0.04963628583654256,22210.0,0.12832057631697436,0.12832057631697436,False
2025-06-26,14990,三菱ＵＦＪアセットマネジメント株式会社　ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,その他,その他,,0.0009922,0.07433508513753433,,,-0.0504263606695442,9020.0,0.02427937915742784,0.01807095343680709,False
