組み合わせ,取引数,平均%,勝率%,対相場超過%,勝った回
押し目ゾーン + 急騰後除外,12189,1.28,53.0,-0.26,65/148
上昇相場除外 + 押し目ゾーン + 急騰後除外,12103,1.3,53.3,-0.28,64/145
上昇相場除外 + 押し目ゾーン,12497,1.32,52.8,-0.41,61/150
押し目ゾーン,12586,1.29,52.5,-0.41,62/154
上昇相場除外 + 急騰後除外,48329,0.81,47.4,-1.41,36/151
急騰後除外,48893,0.77,47.1,-1.41,38/155
なし(基準),52660,0.83,46.4,-1.7,32/155
上昇相場除外,52006,0.88,46.7,-1.74,31/151
