購入日,銘柄コード,業種,おすすめ度(%),買値,売値,決済理由,売却日,購入金額(固定),買手数料,売却金額,売手数料,純損益(固定1000万)
2026-02-24,44170,情報･通信業,74.6,2260.0,2486.0,TP(+10%),2026-02-26,10000000.0,1430,11000000.0,1430,997140.0
2026-02-24,70630,サービス業,79.2,99.0,108.9,TP(+10%),2026-02-25,10000000.0,1430,11000000.0,1430,997140.0
2026-02-24,47040,情報･通信業,70.6,4906.0,5396.6,TP(+10%),2026-02-27,10000000.0,1430,11000000.0,1430,997140.0
2026-02-24,87460,証券･商品先物取引業,81.6,301.0,331.1,TP(+10%),2026-03-02,10000000.0,1430,11000000.0,1430,997140.0
2026-02-24,42580,情報･通信業,63.3,2725.0,2588.8,SL(-5%),2026-02-25,10000000.0,1430,9500183.486238532,1430,-502676.51376146823
2026-02-24,31330,小売業,73.9,333.0,366.3,TP(+10%),2026-02-25,10000000.0,1430,11000000.0,1430,997140.0
2026-02-24,48940,医薬品,66.4,7230.0,7953.0,TP(+10%),2026-02-27,10000000.0,1430,11000000.0,1430,997140.0
2026-02-24,44480,情報･通信業,65.5,277.0,304.7,TP(+10%),2026-02-26,10000000.0,1430,10999999.999999998,1430,997139.9999999981
2026-02-24,94250,情報･通信業,74.5,326.0,358.6,TP(+10%),2026-02-26,10000000.0,1430,11000000.0,1430,997140.0
2026-02-24,89120,不動産業,67.1,177.0,168.2,SL(-5%),2026-02-26,10000000.0,1430,9502824.858757062,1430,-500035.1412429381
2026-02-24,95610,サービス業,76.4,418.0,459.8,TP(+10%),2026-02-26,10000000.0,1430,11000000.0,1430,997140.0
2025-11-17,36250,情報･通信業,64.1,656.0,623.2,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2025-12-26,23880,その他金融業,92.2,63.0,59.8,SL(-5%),2026-03-04,10000000.0,1430,9492063.492063493,1430,-510796.50793650746
2025-12-30,23750,サービス業,79.3,221.0,209.9,SL(-5%),2026-03-04,10000000.0,1430,9497737.556561086,1430,-505122.4434389137
2026-02-09,41690,情報･通信業,73.2,260.0,247.0,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-09,40720,情報･通信業,64.7,2974.0,2825.3,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-12,27210,卸売業,85.1,178.0,169.1,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-13,55920,情報･通信業,76.8,2576.0,2447.2,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-13,65630,サービス業,66.8,601.0,570.9,SL(-5%),2026-03-04,10000000.0,1430,9499168.053244593,1430,-503691.9467554074
2026-02-16,44870,情報･通信業,67.7,302.0,286.9,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-16,39130,情報･通信業,75.1,1058.0,1005.1,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-16,36830,情報･通信業,69.7,1165.0,1106.8,SL(-5%),2026-03-04,10000000.0,1430,9500429.184549356,1430,-502430.8154506441
2026-02-16,387A0,情報･通信業,71.6,1205.0,1144.8,SL(-5%),2026-03-04,10000000.0,1430,9500414.937759336,1430,-502445.0622406639
2026-02-16,40740,情報･通信業,65.4,720.0,684.0,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-16,91450,陸運業,65.4,768.0,729.6,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-16,51250,情報･通信業,66.3,676.0,642.2,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-16,410A0,サービス業,65.8,1107.0,1051.6,SL(-5%),2026-03-04,10000000.0,1430,9499548.32881662,1430,-503311.67118337937
2026-02-17,39300,情報･通信業,80.9,943.0,895.8,SL(-5%),2026-03-04,10000000.0,1430,9499469.77730647,1430,-503390.22269353084
2026-02-17,59870,金属製品,87.5,1909.0,1813.5,SL(-5%),2026-03-04,10000000.0,1430,9499738.082765846,1430,-503121.9172341544
2026-02-17,60220,機械,76.3,3685.0,3500.8,SL(-5%),2026-03-04,10000000.0,1430,9500135.685210312,1430,-502724.3147896882
2026-02-17,45870,医薬品,69.4,1402.5,1332.4,SL(-5%),2026-03-04,10000000.0,1430,9500178.25311943,1430,-502681.7468805704
2026-02-17,91620,サービス業,69.0,255.0,242.2,SL(-5%),2026-03-04,10000000.0,1430,9498039.215686273,1430,-504820.78431372717
2026-02-18,65600,サービス業,65.2,1696.0,1611.2,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-19,44900,情報･通信業,68.0,542.0,514.9,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-20,219A0,医薬品,70.7,1960.0,1862.0,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-20,48800,医薬品,69.9,402.0,381.9,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-20,196A0,その他金融業,66.7,276.0,262.2,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-20,48920,医薬品,65.0,655.0,622.2,SL(-5%),2026-03-04,10000000.0,1430,9499236.641221374,1430,-503623.3587786257
2026-02-24,52560,情報･通信業,81.6,2189.0,2079.5,SL(-5%),2026-03-04,10000000.0,1430,9499771.58519872,1430,-503088.4148012791
2026-02-24,44310,情報･通信業,77.1,2456.0,2333.2,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-24,31340,小売業,69.7,509.0,483.5,SL(-5%),2026-03-04,10000000.0,1430,9499017.68172888,1430,-503842.31827111915
2026-02-24,96100,サービス業,78.8,168.0,159.6,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-24,37910,情報･通信業,67.3,1319.0,1253.0,SL(-5%),2026-03-04,10000000.0,1430,9499620.924943138,1430,-503239.0750568621
2026-02-25,70630,サービス業,96.2,129.0,141.9,TP(+10%),2026-02-26,10000000.0,1430,11000000.0,1430,997140.0
2026-02-25,402A0,輸送用機器,80.8,710.0,674.5,SL(-5%),2026-02-26,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-25,73520,サービス業,85.0,609.0,578.5,SL(-5%),2026-03-02,10000000.0,1430,9499178.981937602,1430,-503681.01806239784
2026-02-25,52550,情報･通信業,83.9,121.0,133.1,TP(+10%),2026-02-26,10000000.0,1430,10999999.999999998,1430,997139.9999999981
2026-02-25,23380,情報･通信業,85.9,106.0,116.6,TP(+10%),2026-02-26,10000000.0,1430,10999999.999999998,1430,997139.9999999981
2026-02-25,31330,小売業,84.3,413.0,454.3,TP(+10%),2026-02-26,10000000.0,1430,11000000.0,1430,997140.0
2026-02-25,39960,情報･通信業,67.4,274.0,260.3,SL(-5%),2026-03-02,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-25,44170,情報･通信業,71.1,2453.0,2330.3,SL(-5%),2026-03-04,10000000.0,1430,9499796.167957604,1430,-503063.83204239607
2026-02-25,48110,情報･通信業,65.7,826.0,784.7,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-25,23450,情報･通信業,68.6,233.0,221.3,SL(-5%),2026-02-26,10000000.0,1430,9497854.077253219,1430,-505005.92274678126
2026-02-25,336A0,情報･通信業,66.8,757.0,832.7,TP(+10%),2026-03-02,10000000.0,1430,11000000.0,1430,997140.0
2026-01-06,22910,食料品,82.0,647.0,614.6,SL(-5%),2026-03-05,10000000.0,1430,9499227.202472953,1430,-503632.7975270469
2026-02-04,47330,情報･通信業,65.4,5830.0,6413.0,TP(+10%),2026-03-05,10000000.0,1430,11000000.0,1430,997140.0
2026-02-26,70630,サービス業,95.0,154.0,146.3,SL(-5%),2026-02-27,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-26,45980,医薬品,97.0,240.0,264.0,TP(+10%),2026-02-27,10000000.0,1430,11000000.0,1430,997140.0
2026-02-26,52480,情報･通信業,91.2,546.0,518.7,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
