戦略,as_of,code,return,is_win,reason,時価総額_億,売買代金_億,株価,出来高急増,高値からの位置,直近1M騰落,業種,相場環境
A_決算モメンタム,2025-05-20,31820,0.08371484630477433,True,トレンド終了,564.8126,4.770966,1529.0,0.9645387753870877,-9.686946249261663,6.550522648083623,小売業,-0.3397578215482644
A_決算モメンタム,2025-05-20,59940,-0.016209476309226978,False,トレンド終了,35.4484,0.010426,802.0,0.5129113351142072,-24.906367041198507,4.563233376792697,金属製品,-0.3397578215482644
A_決算モメンタム,2025-05-20,62650,-0.02195121951219514,False,トレンド終了,33.9685,0.004101,2050.0,0.16233065816947542,-4.339710685954268,12.39035087719298,機械,-0.3397578215482644
A_決算モメンタム,2025-05-20,63830,-0.01341730558598031,False,トレンド終了,13871.40003612,61.141496,3652.0,1.1797867774169004,-10.049261083743843,4.1940085592011345,機械,-0.3397578215482644
A_決算モメンタム,2025-07-15,32970,-0.015639374425022945,False,トレンド終了,29.483788,0.09003,1087.0,1.425207476679898,-14.342001576044128,0.0,不動産業,-0.19894117910906894
A_決算モメンタム,2025-07-15,78880,0.17219387755102034,True,期限切れ,240.59838096,3.540545,784.0,2.004051636574199,0.9009009009008917,28.735632183908045,化学,-0.19894117910906894
A_決算モメンタム,2025-07-30,27670,-0.048010380622837356,False,トレンド終了,1512.721948,13.921633,2312.0,0.9861238229957126,-9.93377483443708,14.17283950617283,卸売業,0.23353573096682734
A_決算モメンタム,2025-08-14,13790,0.014084507042253502,True,トレンド終了,615.8078784,0.760144,1846.0,1.0351090124166402,-5.333333333333334,2.5555555555555554,水産・農林業,-0.2422481188799841
A_決算モメンタム,2025-08-14,13810,0.006644518272425293,True,トレンド終了,169.08675,0.01806,3010.0,0.22352273564104674,-5.790297339593109,2.033898305084736,水産・農林業,-0.2422481188799841
A_決算モメンタム,2025-08-14,13840,0.19334312285854138,True,期限切れ,172.81737,7.236844,2043.0,9.501350823968156,14.389697648376254,27.6875,水産・農林業,-0.2422481188799841
A_決算モメンタム,2025-08-14,14310,0.040431266846361114,True,トレンド終了,179.2044268,0.312422,742.0,0.25787784450433654,-2.752293577981646,8.163265306122458,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,14430,0.04484304932735417,True,トレンド終了,36.21068871,1.933841,223.0,8.196401763515638,-7.08333333333333,14.948453608247414,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,145A0,0.06723404255319143,True,トレンド終了,60.2164,2.199617,1175.0,3.339156368572551,3.160667251975413,17.61761761761762,情報･通信業,-0.2422481188799841
A_決算モメンタム,2025-08-14,147A0,0.025380710659898442,True,トレンド終了,448.95812425,2.634248,985.0,2.2268149125915837,-31.406685236768805,7.650273224043724,情報･通信業,-0.2422481188799841
A_決算モメンタム,2025-08-14,15180,-0.1,False,損切り,4180.608,3.46492,6400.0,0.6297634915402999,-3.759398496240607,25.736738703339878,その他製品,-0.2422481188799841
A_決算モメンタム,2025-08-14,166A0,0.016620498614958512,True,トレンド終了,445.73047606,4.78289,722.0,0.846935755187333,-14.556213017751485,5.8651026392961825,不動産業,-0.2422481188799841
A_決算モメンタム,2025-08-14,17110,0.059233449477351874,True,トレンド終了,29.94205851,0.391841,287.0,0.7278090457124171,-26.221079691516714,21.09704641350212,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,17190,0.016627078384798155,True,トレンド終了,3048.39695748,13.484471,1684.0,1.0407547051155344,-0.5903187721369552,7.879564381806525,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,17360,0.031523642732049106,True,トレンド終了,292.923,0.406567,1713.0,1.9520349070991707,-62.35164835164835,20.21052631578948,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,17430,-0.0027159152634438355,False,トレンド終了,41.9748,0.436396,1841.0,1.607310012760258,-1.5508021390374327,17.48564135290365,,-0.2422481188799841
A_決算モメンタム,2025-08-14,17620,-0.003012048192771122,False,トレンド終了,1155.9767896,0.884105,3320.0,1.0121515310837579,-3.065693430656935,5.901116427432207,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,17640,-0.019099099099099126,False,トレンド終了,36.941355,0.081009,2775.0,1.3098650988838278,-9.165302782324058,4.0104947526236945,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,17680,0.033264033264033266,True,トレンド終了,72.15,0.142651,962.0,1.5359519524434277,-3.8000000000000034,7.726763717805141,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,17950,0.022041763341067222,True,トレンド終了,38.8396081,0.144615,4310.0,1.965405118900792,-3.0371203599550034,6.815365551425034,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,17980,0.1012931034482758,True,トレンド終了,104.864,0.06589,4640.0,0.6131541051034912,-3.3333333333333326,19.58762886597938,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18010,0.018817480719794277,True,トレンド終了,15869.826052,62.279127,9725.0,0.828921787916271,-2.613659122771883,14.857682768394941,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18080,0.02406639004149369,True,トレンド終了,7048.7655177,12.275531,2410.0,0.6194180235329309,-1.672786617707056,9.049773755656098,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18100,-0.043091655266757845,False,トレンド終了,447.0796,0.58654,1462.0,0.8828397293832976,-1.216216216216215,18.861788617886187,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18110,0.0726643598615917,True,トレンド終了,425.011492,0.58776,5780.0,1.4387633332721363,-5.709624796084833,35.36299765807962,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18120,0.03107817355964615,True,トレンド終了,22113.68094013,51.780615,4183.0,0.7908063515519724,-1.8996247654784248,14.040348964013095,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18140,-0.007094994087504913,False,トレンド終了,269.28288825,1.709541,2537.0,1.082756423364139,0.11838989739543226,15.00453309156844,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18330,0.0010416666666666075,True,トレンド終了,1855.930848,4.096125,4800.0,0.8960042786398584,-0.6211180124223614,9.339407744874716,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18350,0.009111617312072884,True,トレンド終了,1584.79,3.0837,4390.0,0.8792759182630102,-0.9029345372460473,8.39506172839506,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18520,-0.008018327605956443,False,トレンド終了,705.2643117,4.236957,873.0,1.5967275684162499,1.1587485515643037,13.820078226857891,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18530,-0.04573170731707321,False,トレンド終了,107.584,0.202466,328.0,1.7287720241983342,-0.3039513677811523,8.25082508250825,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18610,-0.1,False,損切り,8077.085496,10.28352,4665.0,1.167535215733033,-2.098635886673661,3.436807095343686,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18660,-0.1,False,損切り,1133.0293164,0.281715,4470.0,1.130293832663632,-2.614379084967322,12.594458438287148,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18670,0.0008169934640522847,True,トレンド終了,168.26396544,0.241787,2448.0,0.7667163780121318,1.2825817128671924,20.88888888888889,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18700,0.017840375586854362,True,トレンド終了,950.1388341,3.987622,2130.0,0.8644536427205881,-5.037895675434689,11.869747899159666,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18790,-0.011164274322169043,False,トレンド終了,1154.1951432,0.89531,1881.0,0.7426090776289461,-0.8956796628029506,10.452143276570759,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18850,0.0206433029284685,True,トレンド終了,1832.59248828,12.118226,2083.0,1.4120031064188123,-1.23281175912755,19.23297080709787,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18880,-0.0034662045060658286,False,トレンド終了,748.0800961,2.68485,5770.0,1.4435926980776292,-5.25451559934319,26.95269526952695,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,18930,0.05318138651471993,True,トレンド終了,3011.7264723,15.9952635,1053.0,0.8749554439562391,-0.8474576271186418,12.116695059625204,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,19040,0.004662004662004726,True,トレンド終了,295.2586923,0.640985,4290.0,1.2483062998585641,-2.8312570781426905,7.518796992481214,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,19090,0.32392026578073096,True,期限切れ,1729.3803296,3.28776,6020.0,2.1068550841842324,3.082191780821919,16.893203883495154,機械,-0.2422481188799841
A_決算モメンタム,2025-08-14,19260,0.024844720496894457,True,トレンド終了,1383.64849,4.186175,3220.0,0.8405020398338546,-1.6793893129770976,12.195121951219523,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,19510,0.018973998594518537,True,トレンド終了,4389.06216711,9.7232205,2134.5,0.577470438518095,-0.859266140269388,11.287799791449427,建設業,-0.2422481188799841
A_決算モメンタム,2025-08-14,19520,-0.012658227848101222,False,トレンド終了,1534.63662,4.453615,3160.0,0.725426651962612,-23.67149758454107,27.16297786720321,建設業,-0.2422481188799841
